status,paid_only,is_favor,frequency,progress,stat.question_id,stat.question__article__live,stat.question__article__slug,stat.question__article__has_video_solution,stat.question__title,stat.question__title_slug,stat.question__hide,stat.total_acs,stat.total_submitted,stat.frontend_question_id,stat.is_new_question,difficulty.level
,False,False,0,0,3431,,,,Find the Minimum Cost Array Permutation,find-the-minimum-cost-array-permutation,False,1700,9806,3149,False,3
,False,False,0,0,3419,,,,Maximum Points Inside the Square,maximum-points-inside-the-square,False,11723,32469,3143,False,2
,False,False,0,0,3415,,,,Check if Grid Satisfies Conditions,check-if-grid-satisfies-conditions,False,21956,55211,3142,False,1
,False,False,0,0,3412,,,,Permutation Difference between Two Strings,permutation-difference-between-two-strings,False,25082,28140,3146,False,1
,False,False,0,0,3411,,,,Find Products of Elements of Big Array,find-products-of-elements-of-big-array,False,675,4207,3145,False,3
,False,False,0,0,3408,,,,Count the Number of Special Characters I,count-the-number-of-special-characters-i,False,36068,55629,3120,False,1
,False,False,0,0,3407,,,,Find All Possible Stable Binary Arrays II,find-all-possible-stable-binary-arrays-ii,False,2104,7577,3130,False,3
,False,False,0,0,3406,,,,Find All Possible Stable Binary Arrays I,find-all-possible-stable-binary-arrays-i,False,6010,22466,3129,False,2
,False,False,0,0,3405,,,,Count the Number of Special Characters II,count-the-number-of-special-characters-ii,False,26793,65411,3121,False,2
,False,False,0,0,3404,,,,Minimum Number of Operations to Satisfy Conditions,minimum-number-of-operations-to-satisfy-conditions,False,12360,30354,3122,False,2
,False,False,0,0,3403,,,,Minimum Substring Partition of Equal Character Frequency,minimum-substring-partition-of-equal-character-frequency,False,8035,20815,3144,False,2
,False,False,0,0,3402,,,,Minimum Cost to Equalize Array,minimum-cost-to-equalize-array,False,2819,19077,3139,False,3
,False,False,0,0,3399,,,,Find the Integer Added to Array II,find-the-integer-added-to-array-ii,False,17968,59161,3132,False,2
,False,False,0,0,3398,,,,Make a Square with the Same Color,make-a-square-with-the-same-color,False,21278,42490,3127,False,1
,False,False,0,0,3397,,,,Find the Integer Added to Array I,find-the-integer-added-to-array-i,False,37167,45796,3131,False,1
,False,False,0,0,3396,,,,Valid Word,valid-word,False,29611,83800,3136,False,1
,False,False,0,0,3395,,,,Minimum Length of Anagram Concatenation,minimum-length-of-anagram-concatenation,False,24287,56852,3138,False,2
,False,False,0,0,3394,,,,Minimum Array End,minimum-array-end,False,11336,30446,3133,False,2
,False,False,0,0,3391,,,,Maximum Difference Score in a Grid,maximum-difference-score-in-a-grid,False,9766,21254,3148,False,2
,False,False,0,0,3390,,,,Minimum Rectangles to Cover Points,minimum-rectangles-to-cover-points,False,23346,36580,3111,False,2
,False,False,0,0,3389,,,,Minimum Time to Visit Disappearing Nodes,minimum-time-to-visit-disappearing-nodes,False,15214,45082,3112,False,2
,False,False,0,0,3388,,,,Right Triangles,right-triangles,False,15864,33920,3128,False,2
,False,False,0,0,3387,,,,Minimum Operations to Make Median of Array Equal to K,minimum-operations-to-make-median-of-array-equal-to-k,False,21912,45066,3107,False,2
